Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"United States","USA","Subnat","USAr101","Alabama",0.825,0.826,0.828,0.828,0.829,0.831,0.831,0.832,0.832,0.834,0.834,0.837,0.837,0.838,0.840,0.842,0.843,0.845,0.846,0.848,0.848,0.851,0.852,0.854,0.855,0.857,0.860,0.862
"United States","USA","Subnat","USAr102","Alaska",0.858,0.858,0.862,0.862,0.863,0.866,0.866,0.869,0.869,0.871,0.872,0.875,0.877,0.882,0.885,0.888,0.889,0.889,0.891,0.892,0.892,0.895,0.895,0.898,0.900,0.902,0.905,0.906
"United States","USA","Subnat","USAr103","Arizona",0.865,0.866,0.868,0.869,0.871,0.874,0.875,0.877,0.878,0.882,0.883,0.885,0.886,0.889,0.892,0.895,0.898,0.902,0.906,0.909,0.912,0.915,0.917,0.918,0.920,0.922,0.925,0.926
"United States","USA","Subnat","USAr104","Arkansas",0.835,0.835,0.837,0.837,0.838,0.840,0.842,0.843,0.843,0.845,0.845,0.848,0.848,0.849,0.851,0.852,0.854,0.854,0.857,0.858,0.858,0.860,0.862,0.863,0.865,0.866,0.869,0.871
"United States","USA","Subnat","USAr105","California",0.862,0.863,0.868,0.869,0.874,0.877,0.880,0.885,0.888,0.892,0.895,0.898,0.900,0.903,0.906,0.911,0.914,0.917,0.922,0.926,0.929,0.932,0.934,0.937,0.938,0.940,0.943,0.945
"United States","USA","Subnat","USAr106","Colorado",0.877,0.878,0.880,0.882,0.883,0.886,0.888,0.891,0.892,0.895,0.897,0.898,0.900,0.903,0.905,0.908,0.911,0.912,0.914,0.917,0.918,0.922,0.923,0.925,0.926,0.928,0.931,0.932
"United States","USA","Subnat","USAr107","Connecticut",0.875,0.877,0.878,0.880,0.882,0.885,0.886,0.889,0.892,0.895,0.898,0.902,0.905,0.908,0.912,0.917,0.920,0.922,0.925,0.928,0.929,0.932,0.934,0.937,0.938,0.940,0.943,0.945
"United States","USA","Subnat","USAr108","Delaware",0.843,0.845,0.849,0.851,0.855,0.858,0.860,0.863,0.865,0.868,0.868,0.871,0.872,0.875,0.878,0.880,0.883,0.885,0.888,0.891,0.892,0.895,0.897,0.900,0.902,0.903,0.906,0.908
"United States","USA","Subnat","USAr109","District of Columbia",0.732,0.735,0.738,0.742,0.746,0.751,0.762,0.774,0.783,0.795,0.806,0.811,0.814,0.818,0.823,0.828,0.837,0.843,0.852,0.862,0.868,0.871,0.871,0.872,0.872,0.874,0.877,0.878
"United States","USA","Subnat","USAr110","Florida",0.858,0.860,0.863,0.865,0.868,0.871,0.872,0.875,0.877,0.880,0.883,0.885,0.886,0.889,0.892,0.895,0.898,0.900,0.903,0.906,0.908,0.911,0.912,0.915,0.917,0.918,0.922,0.923
"United States","USA","Subnat","USAr111","Georgia",0.823,0.825,0.828,0.829,0.832,0.835,0.837,0.840,0.842,0.845,0.846,0.849,0.851,0.854,0.857,0.860,0.863,0.866,0.869,0.872,0.874,0.877,0.878,0.882,0.883,0.885,0.888,0.889
"United States","USA","Subnat","USAr112","Hawaii",0.902,0.902,0.903,0.905,0.906,0.909,0.909,0.912,0.914,0.915,0.917,0.920,0.920,0.923,0.926,0.929,0.931,0.931,0.932,0.934,0.934,0.938,0.940,0.945,0.946,0.948,0.951,0.952
"United States","USA","Subnat","USAr113","Idaho",0.875,0.875,0.878,0.880,0.883,0.886,0.886,0.888,0.889,0.891,0.891,0.892,0.894,0.895,0.897,0.900,0.902,0.903,0.905,0.908,0.908,0.911,0.914,0.917,0.918,0.920,0.923,0.925
"United States","USA","Subnat","USAr114","Illinois",0.845,0.846,0.849,0.851,0.854,0.855,0.858,0.862,0.863,0.868,0.869,0.874,0.875,0.880,0.883,0.888,0.891,0.894,0.897,0.902,0.903,0.906,0.908,0.909,0.911,0.912,0.915,0.917
"United States","USA","Subnat","USAr115","Indiana",0.851,0.851,0.852,0.854,0.855,0.857,0.857,0.860,0.860,0.862,0.862,0.865,0.866,0.868,0.871,0.872,0.875,0.875,0.877,0.880,0.880,0.883,0.885,0.888,0.889,0.891,0.894,0.895
"United States","USA","Subnat","USAr116","Iowa",0.875,0.877,0.880,0.880,0.883,0.886,0.886,0.889,0.889,0.892,0.892,0.895,0.895,0.898,0.900,0.903,0.905,0.905,0.906,0.908,0.908,0.912,0.915,0.918,0.922,0.923,0.926,0.928
"United States","USA","Subnat","USAr117","Kansas",0.872,0.872,0.874,0.874,0.875,0.878,0.878,0.880,0.880,0.882,0.882,0.883,0.883,0.885,0.886,0.889,0.891,0.891,0.892,0.895,0.895,0.898,0.900,0.905,0.906,0.908,0.911,0.912
"United States","USA","Subnat","USAr118","Kentucky",0.834,0.834,0.837,0.837,0.840,0.842,0.842,0.845,0.845,0.846,0.846,0.848,0.848,0.849,0.851,0.852,0.854,0.854,0.855,0.857,0.857,0.860,0.862,0.863,0.865,0.866,0.869,0.871
"United States","USA","Subnat","USAr119","Louisiana",0.817,0.817,0.818,0.820,0.822,0.823,0.825,0.826,0.828,0.829,0.831,0.832,0.831,0.832,0.834,0.834,0.838,0.842,0.846,0.849,0.852,0.855,0.855,0.858,0.860,0.862,0.865,0.866
"United States","USA","Subnat","USAr120","Maine",0.866,0.866,0.869,0.871,0.874,0.877,0.877,0.880,0.880,0.883,0.883,0.886,0.886,0.889,0.891,0.894,0.895,0.897,0.900,0.903,0.905,0.908,0.909,0.912,0.914,0.915,0.918,0.920
"United States","USA","Subnat","USAr121","Maryland",0.843,0.843,0.846,0.846,0.849,0.851,0.854,0.857,0.858,0.863,0.865,0.868,0.871,0.874,0.878,0.882,0.886,0.889,0.894,0.897,0.900,0.903,0.903,0.906,0.908,0.909,0.912,0.914
"United States","USA","Subnat","USAr122","Massachusetts",0.871,0.872,0.875,0.877,0.880,0.885,0.886,0.889,0.891,0.894,0.897,0.900,0.902,0.905,0.908,0.912,0.915,0.917,0.920,0.923,0.926,0.928,0.929,0.932,0.934,0.935,0.938,0.940
"United States","USA","Subnat","USAr123","Michigan",0.846,0.849,0.852,0.854,0.857,0.860,0.862,0.863,0.865,0.866,0.868,0.871,0.872,0.875,0.878,0.882,0.885,0.885,0.888,0.889,0.889,0.892,0.894,0.897,0.898,0.900,0.903,0.905
"United States","USA","Subnat","USAr124","Minnesota",0.886,0.886,0.889,0.889,0.892,0.894,0.895,0.898,0.900,0.903,0.905,0.908,0.909,0.914,0.917,0.922,0.923,0.925,0.926,0.929,0.929,0.934,0.937,0.940,0.943,0.945,0.948,0.949
"United States","USA","Subnat","USAr125","Mississippi",0.814,0.814,0.814,0.814,0.814,0.815,0.815,0.817,0.818,0.820,0.820,0.823,0.823,0.826,0.828,0.829,0.832,0.832,0.835,0.837,0.838,0.842,0.843,0.848,0.849,0.851,0.854,0.855
"United States","USA","Subnat","USAr126","Missouri",0.849,0.849,0.851,0.851,0.852,0.854,0.855,0.858,0.858,0.862,0.862,0.865,0.865,0.868,0.869,0.871,0.874,0.874,0.877,0.878,0.878,0.882,0.883,0.886,0.888,0.889,0.892,0.894
"United States","USA","Subnat","USAr127","Montana",0.868,0.869,0.871,0.872,0.874,0.877,0.877,0.878,0.880,0.882,0.882,0.885,0.885,0.888,0.889,0.892,0.894,0.894,0.897,0.898,0.898,0.900,0.900,0.903,0.903,0.905,0.908,0.909
"United States","USA","Subnat","USAr128","Nebraska",0.874,0.874,0.877,0.878,0.880,0.883,0.883,0.886,0.886,0.889,0.889,0.892,0.894,0.897,0.900,0.903,0.905,0.906,0.908,0.911,0.911,0.915,0.917,0.922,0.923,0.925,0.928,0.929
"United States","USA","Subnat","USAr129","Nevada",0.840,0.842,0.845,0.845,0.848,0.851,0.852,0.855,0.857,0.860,0.862,0.865,0.865,0.868,0.869,0.872,0.877,0.880,0.885,0.889,0.891,0.894,0.894,0.897,0.897,0.898,0.902,0.903
"United States","USA","Subnat","USAr130","New Hampshire",0.871,0.874,0.877,0.880,0.883,0.888,0.888,0.891,0.892,0.895,0.897,0.898,0.900,0.903,0.906,0.909,0.912,0.914,0.917,0.920,0.923,0.925,0.926,0.929,0.931,0.932,0.935,0.937
"United States","USA","Subnat","USAr131","New Jersey",0.852,0.854,0.857,0.858,0.863,0.866,0.869,0.874,0.875,0.880,0.883,0.888,0.891,0.894,0.898,0.903,0.908,0.909,0.914,0.917,0.920,0.923,0.926,0.929,0.931,0.932,0.935,0.937
