Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"United States","USA","Subnat","USAr101","Alabama",4107,4138,4169,4201,4232,4264,4305,4346,4388,4429,4470,4502,4534,4566,4598,4629,4663,4697,4730,4764,4798,4814,4830,4843,4858,4869,4850,4885
"United States","USA","Subnat","USAr102","Alaska",559,566,572,578,585,591,599,607,615,622,630,638,646,655,663,671,679,688,696,704,713,722,730,739,738,739,735,740
"United States","USA","Subnat","USAr103","Arizona",3726,3865,4004,4143,4281,4418,4566,4714,4862,5010,5158,5282,5407,5532,5657,5781,5908,6035,6162,6289,6416,6495,6573,6648,6743,6843,6901,6950
"United States","USA","Subnat","USAr104","Arkansas",2389,2416,2443,2470,2497,2524,2556,2589,2622,2655,2687,2711,2734,2758,2781,2804,2829,2853,2878,2902,2927,2940,2953,2964,2971,2986,2982,3003
"United States","USA","Subnat","USAr105","California",30249,30593,30936,31278,31621,31964,32381,32798,33215,33632,34050,34377,34704,35031,35358,35685,36027,36368,36710,37052,37393,37776,38146,38505,38869,39125,39138,39418
"United States","USA","Subnat","USAr106","Colorado",3349,3442,3536,3630,3723,3816,3917,4019,4120,4222,4324,4395,4467,4538,4610,4681,4755,4828,4901,4975,5048,5128,5206,5282,5365,5449,5499,5538
"United States","USA","Subnat","USAr107","Connecticut",3341,3345,3349,3353,3357,3362,3374,3387,3399,3411,3423,3439,3455,3470,3486,3502,3519,3536,3553,3570,3587,3595,3601,3606,3603,3602,3579,3604
"United States","USA","Subnat","USAr108","Delaware",677,687,698,708,718,728,740,752,764,776,788,799,810,821,832,844,855,867,878,890,901,910,919,927,937,946,950,957
"United States","USA","Subnat","USAr109","District of Columbia",617,612,607,602,597,592,589,585,582,579,575,578,581,583,586,589,592,595,598,601,604,620,635,650,660,671,679,683
"United States","USA","Subnat","USAr110","Florida",13151,13427,13703,13979,14253,14527,14835,15143,15451,15758,16066,16344,16621,16898,17175,17452,17736,18020,18304,18588,18872,19133,19389,19638,19927,20289,20523,20670
"United States","USA","Subnat","USAr111","Georgia",6585,6742,6899,7055,7211,7366,7539,7712,7884,8057,8229,8377,8525,8673,8820,8968,9119,9270,9421,9573,9724,9824,9920,10014,10115,10230,10282,10355
"United States","USA","Subnat","USAr112","Hawaii",1126,1134,1142,1150,1157,1165,1176,1186,1197,1207,1218,1232,1247,1261,1276,1290,1305,1320,1335,1350,1365,1381,1397,1412,1422,1424,1418,1428
"United States","USA","Subnat","USAr113","Idaho",1023,1050,1076,1103,1129,1156,1185,1214,1243,1272,1301,1328,1355,1382,1409,1436,1463,1491,1518,1546,1573,1588,1602,1616,1637,1668,1688,1700
"United States","USA","Subnat","USAr114","Illinois",11619,11690,11763,11835,11908,11980,12081,12182,12283,12384,12485,12521,12558,12595,12632,12668,12710,12753,12795,12837,12879,12895,12907,12915,12903,12878,12775,12866
"United States","USA","Subnat","USAr115","Indiana",5635,5676,5717,5758,5798,5839,5894,5949,6003,6058,6112,6151,6189,6227,6265,6304,6345,6385,6426,6467,6508,6535,6560,6583,6608,6636,6623,6670
"United States","USA","Subnat","USAr116","Iowa",2822,2831,2839,2848,2856,2865,2880,2896,2911,2926,2942,2953,2964,2975,2986,2997,3009,3021,3033,3046,3058,3072,3086,3098,3112,3127,3122,3144
"United States","USA","Subnat","USAr117","Kansas",2518,2534,2549,2564,2580,2595,2617,2638,2660,2681,2703,2718,2734,2749,2765,2780,2797,2814,2830,2847,2864,2877,2890,2901,2909,2914,2900,2921
"United States","USA","Subnat","USAr118","Kentucky",3746,3773,3800,3827,3854,3882,3918,3954,3990,4027,4063,4091,4120,4148,4177,4205,4235,4265,4295,4325,4356,4374,4392,4408,4421,4437,4426,4457
"United States","USA","Subnat","USAr119","Louisiana",4289,4304,4319,4334,4349,4365,4390,4416,4441,4467,4492,4497,4502,4507,4512,4517,4523,4530,4537,4544,4550,4581,4610,4638,4658,4667,4648,4681
"United States","USA","Subnat","USAr120","Maine",1248,1250,1252,1253,1255,1257,1262,1267,1272,1277,1282,1287,1291,1296,1301,1306,1312,1317,1322,1328,1333,1333,1332,1331,1332,1336,1331,1340
"United States","USA","Subnat","USAr121","Maryland",4860,4900,4941,4981,5022,5062,5115,5167,5220,5272,5324,5370,5416,5462,5508,5554,5602,5651,5699,5747,5795,5849,5900,5950,5987,6014,6005,6048
"United States","USA","Subnat","USAr122","Massachusetts",6115,6134,6153,6172,6192,6212,6246,6280,6314,6348,6382,6400,6418,6435,6453,6471,6491,6511,6532,6552,6572,6624,6674,6722,6757,6797,6794,6843
"United States","USA","Subnat","USAr123","Michigan",9448,9490,9533,9575,9618,9662,9727,9793,9859,9925,9991,9981,9972,9963,9954,9945,9940,9935,9930,9926,9921,9922,9921,9917,9927,9950,9912,9983
"United States","USA","Subnat","USAr124","Minnesota",4447,4491,4536,4580,4625,4669,4724,4779,4835,4890,4945,4982,5019,5056,5092,5129,5168,5207,5246,5285,5324,5362,5398,5432,5466,5511,5521,5561
"United States","USA","Subnat","USAr125","Mississippi",2616,2637,2658,2679,2700,2722,2749,2777,2804,2832,2860,2871,2882,2893,2905,2916,2928,2941,2953,2966,2978,2986,2992,2998,2999,2997,2977,2998
"United States","USA","Subnat","USAr126","Missouri",5201,5237,5273,5309,5345,5381,5430,5479,5527,5576,5625,5662,5700,5737,5775,5812,5852,5892,5932,5971,6011,6028,6043,6056,6074,6094,6076,6120
"United States","USA","Subnat","USAr127","Montana",812,821,829,838,846,855,865,876,886,896,907,915,924,932,941,949,958,967,975,984,993,1001,1009,1017,1025,1035,1039,1046
"United States","USA","Subnat","USAr128","Nebraska",1604,1614,1623,1633,1643,1652,1666,1680,1693,1707,1720,1731,1742,1753,1764,1775,1787,1798,1810,1822,1833,1847,1860,1873,1885,1898,1900,1913
"United States","USA","Subnat","USAr129","Nevada",1222,1299,1377,1454,1531,1607,1688,1768,1848,1928,2009,2079,2148,2218,2288,2357,2428,2499,2569,2640,2711,2740,2769,2797,2844,2899,2937,2958
"United States","USA","Subnat","USAr130","New Hampshire",1127,1138,1148,1158,1168,1178,1191,1204,1217,1229,1242,1250,1258,1265,1273,1281,1289,1297,1305,1313,1321,1323,1324,1325,1329,1335,1334,1343
"United States","USA","Subnat","USAr131","New Jersey",7857,7908,7958,8008,8059,8110,8180,8249,8319,8389,8459,8493,8528,8563,8598,8633,8671,8710,8748,8786,8825,8862,8897,8928,8953,8980,8951,9015
"United States","USA","Subnat","USAr132","New Mexico",1540,1567,1594,1621,1648,1675,1706,1736,1767,1798,1829,1852,1875,1899,1922,1946,1970,1994,2018,2043,2067,2076,2084,2091,2089,2091,2080,2095
"United States","USA","Subnat","USAr133","New York",18286,18342,18398,18454,18512,18570,18671,18772,18874,18975,19076,19109,19143,19176,19210,19243,19285,19326,19368,19409,19451,19551,19645,19733,19780,19815,19728,19869
"United States","USA","Subnat","USAr134","North Carolina",6738,6865,6993,7120,7247,7373,7517,7660,7804,7948,8092,8238,8384,8530,8677,8823,8972,9122,9272,9421,9571,9673,9772,9868,9961,10076,10128,10200
"United States","USA","Subnat","USAr135","North Dakota",649,648,647,646,645,643,644,644,645,645,646,648,651,654,657,660,663,666,669,672,675,692,709,725,741,745,744,750
"United States","USA","Subnat","USAr136","Ohio",11026,11050,11075,11100,11126,11152,11204,11256,11308,11361,11413,11427,11441,11455,11470,11484,11503,11522,11542,11561,11580,11588,11593,11594,11614,11643,11600,11682
"United States","USA","Subnat","USAr137","Oklahoma",3197,3220,3244,3267,3290,3313,3345,3376,3407,3438,3469,3498,3527,3556,3584,3613,3644,3674,3705,3735,3765,3798,3830,3860,3885,3902,3894,3922
"United States","USA","Subnat","USAr138","Oregon",2889,2941,2992,3044,3095,3146,3205,3264,3322,3381,3439,3479,3519,3559,3599,3639,3680,3721,3763,3804,3845,3877,3907,3936,3977,4036,4069,4098
"United States","USA","Subnat","USAr139","Pennsylvania",12077,12088,12100,12112,12124,12138,12179,12221,12262,12304,12346,12383,12421,12459,12497,12535,12578,12621,12664,12707,12750,12772,12791,12806,12809,12822,12756,12847
"United States","USA","Subnat","USAr140","Rhode Island",1020,1022,1024,1026,1028,1031,1035,1040,1045,1049,1054,1054,1054,1054,1054,1054,1055,1055,1056,1056,1057,1056,1056,1055,1057,1059,1054,1062
"United States","USA","Subnat","USAr141","South Carolina",3544,3589,3633,3678,3722,3767,3820,3873,3927,3980,4033,4093,4153,4213,4273,4334,4395,4457,4519,4581,4643,4690,4736,4781,4841,4906,4942,4977
"United States","USA","Subnat","USAr142","South Dakota",707,712,716,720,725,729,735,741,747,753,759,764,770,776,782,787,793,799,805,811,817,827,837,847,855,861,862,868
