Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"United States","USA","Subnat","USAr101","Alabama",0.787,0.790,0.804,0.817,0.823,0.823,0.823,0.823,0.829,0.829,0.821,0.823,0.826,0.835,0.838,0.841,0.847,0.853,0.866,0.868,0.874,0.880,0.877,0.868,0.872,0.874,0.878,0.878
"United States","USA","Subnat","USAr102","Alaska",0.883,0.887,0.898,0.904,0.907,0.907,0.902,0.898,0.898,0.896,0.881,0.884,0.887,0.896,0.896,0.898,0.901,0.907,0.920,0.923,0.928,0.934,0.932,0.923,0.926,0.929,0.932,0.932
"United States","USA","Subnat","USAr103","Arizona",0.847,0.851,0.862,0.868,0.871,0.871,0.868,0.868,0.865,0.862,0.854,0.857,0.859,0.862,0.862,0.865,0.868,0.874,0.887,0.889,0.895,0.901,0.898,0.889,0.893,0.896,0.899,0.899
"United States","USA","Subnat","USAr104","Arkansas",0.781,0.784,0.796,0.804,0.817,0.817,0.817,0.817,0.823,0.823,0.814,0.817,0.823,0.832,0.832,0.835,0.841,0.847,0.859,0.862,0.868,0.874,0.871,0.862,0.866,0.868,0.872,0.872
"United States","USA","Subnat","USAr105","California",0.844,0.844,0.856,0.859,0.865,0.865,0.856,0.856,0.856,0.850,0.842,0.844,0.847,0.853,0.853,0.856,0.859,0.865,0.874,0.877,0.880,0.886,0.883,0.874,0.878,0.881,0.884,0.884
"United States","USA","Subnat","USAr106","Colorado",0.889,0.893,0.904,0.913,0.919,0.919,0.914,0.911,0.913,0.911,0.899,0.902,0.902,0.911,0.911,0.911,0.913,0.919,0.935,0.938,0.943,0.949,0.947,0.938,0.941,0.944,0.947,0.947
"United States","USA","Subnat","USAr107","Connecticut",0.871,0.874,0.886,0.895,0.901,0.901,0.896,0.896,0.898,0.896,0.887,0.890,0.893,0.902,0.902,0.904,0.907,0.913,0.926,0.929,0.934,0.941,0.938,0.929,0.932,0.935,0.938,0.938
"United States","USA","Subnat","USAr108","Delaware",0.850,0.853,0.865,0.874,0.880,0.880,0.877,0.877,0.880,0.877,0.869,0.869,0.872,0.881,0.877,0.877,0.880,0.886,0.899,0.902,0.907,0.913,0.911,0.902,0.905,0.908,0.911,0.911
"United States","USA","Subnat","USAr109","District of Columbia",0.868,0.872,0.883,0.892,0.898,0.898,0.896,0.896,0.898,0.896,0.887,0.890,0.896,0.908,0.908,0.913,0.922,0.928,0.947,0.956,0.964,0.971,0.968,0.959,0.962,0.965,0.972,0.972
"United States","USA","Subnat","USAr110","Florida",0.832,0.836,0.847,0.859,0.865,0.865,0.862,0.862,0.865,0.862,0.854,0.857,0.859,0.868,0.868,0.871,0.874,0.880,0.890,0.889,0.895,0.901,0.898,0.889,0.893,0.896,0.899,0.899
"United States","USA","Subnat","USAr111","Georgia",0.814,0.817,0.829,0.841,0.847,0.850,0.847,0.850,0.853,0.853,0.848,0.851,0.853,0.862,0.862,0.865,0.868,0.874,0.887,0.887,0.892,0.898,0.896,0.887,0.890,0.893,0.896,0.896
"United States","USA","Subnat","USAr112","Hawaii",0.856,0.859,0.871,0.880,0.883,0.883,0.881,0.881,0.883,0.881,0.872,0.875,0.874,0.883,0.883,0.886,0.892,0.898,0.914,0.917,0.922,0.928,0.926,0.917,0.920,0.923,0.926,0.926
"United States","USA","Subnat","USAr113","Idaho",0.850,0.851,0.862,0.871,0.877,0.877,0.874,0.874,0.877,0.871,0.863,0.863,0.866,0.874,0.868,0.871,0.874,0.880,0.893,0.898,0.907,0.913,0.911,0.902,0.905,0.908,0.911,0.911
