Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"United States","USA","Subnat","USAr101","Alabama",73.60,73.70,73.80,73.80,73.90,74.00,74.00,74.10,74.10,74.20,74.20,74.40,74.40,74.50,74.60,74.70,74.80,74.90,75.00,75.10,75.10,75.30,75.40,75.50,75.60,75.70,75.90,76.00
"United States","USA","Subnat","USAr102","Alaska",75.80,75.80,76.00,76.00,76.10,76.30,76.30,76.50,76.50,76.60,76.70,76.90,77.00,77.30,77.50,77.70,77.80,77.80,77.90,78.00,78.00,78.20,78.20,78.40,78.50,78.60,78.80,78.90
"United States","USA","Subnat","USAr103","Arizona",76.20,76.30,76.40,76.50,76.60,76.80,76.90,77.00,77.10,77.30,77.40,77.50,77.60,77.80,78.00,78.20,78.40,78.60,78.90,79.10,79.30,79.50,79.60,79.70,79.80,79.90,80.10,80.20
"United States","USA","Subnat","USAr104","Arkansas",74.30,74.30,74.40,74.40,74.50,74.60,74.70,74.80,74.80,74.90,74.90,75.10,75.10,75.20,75.30,75.40,75.50,75.50,75.70,75.80,75.80,75.90,76.00,76.10,76.20,76.30,76.50,76.60
"United States","USA","Subnat","USAr105","California",76.00,76.10,76.40,76.50,76.80,77.00,77.20,77.50,77.70,78.00,78.20,78.40,78.50,78.70,78.90,79.20,79.40,79.60,79.90,80.20,80.40,80.60,80.70,80.90,81.00,81.10,81.30,81.40
"United States","USA","Subnat","USAr106","Colorado",77.00,77.10,77.20,77.30,77.40,77.60,77.70,77.90,78.00,78.20,78.30,78.40,78.50,78.70,78.80,79.00,79.20,79.30,79.40,79.60,79.70,79.90,80.00,80.10,80.20,80.30,80.50,80.60
"United States","USA","Subnat","USAr107","Connecticut",76.90,77.00,77.10,77.20,77.30,77.50,77.60,77.80,78.00,78.20,78.40,78.60,78.80,79.00,79.30,79.60,79.80,79.90,80.10,80.30,80.40,80.60,80.70,80.90,81.00,81.10,81.30,81.40
"United States","USA","Subnat","USAr108","Delaware",74.80,74.90,75.20,75.30,75.60,75.80,75.90,76.10,76.20,76.40,76.40,76.60,76.70,76.90,77.10,77.20,77.40,77.50,77.70,77.90,78.00,78.20,78.30,78.50,78.60,78.70,78.90,79.00
"United States","USA","Subnat","USAr109","District of Columbia",67.60,67.80,68.00,68.20,68.50,68.80,69.50,70.30,70.90,71.70,72.40,72.70,72.90,73.20,73.50,73.80,74.40,74.80,75.40,76.00,76.40,76.60,76.60,76.70,76.70,76.80,77.00,77.10
"United States","USA","Subnat","USAr110","Florida",75.80,75.90,76.10,76.20,76.40,76.60,76.70,76.90,77.00,77.20,77.40,77.50,77.60,77.80,78.00,78.20,78.40,78.50,78.70,78.90,79.00,79.20,79.30,79.50,79.60,79.70,79.90,80.00
"United States","USA","Subnat","USAr111","Georgia",73.50,73.60,73.80,73.90,74.10,74.30,74.40,74.60,74.70,74.90,75.00,75.20,75.30,75.50,75.70,75.90,76.10,76.30,76.50,76.70,76.80,77.00,77.10,77.30,77.40,77.50,77.70,77.80
"United States","USA","Subnat","USAr112","Hawaii",78.60,78.60,78.70,78.80,78.90,79.10,79.10,79.30,79.40,79.50,79.60,79.80,79.80,80.00,80.20,80.40,80.50,80.50,80.60,80.70,80.70,81.00,81.10,81.40,81.50,81.60,81.80,81.90
"United States","USA","Subnat","USAr113","Idaho",76.90,76.90,77.10,77.20,77.40,77.60,77.60,77.70,77.80,77.90,77.90,78.00,78.10,78.20,78.30,78.50,78.60,78.70,78.80,79.00,79.00,79.20,79.40,79.60,79.70,79.80,80.00,80.10
"United States","USA","Subnat","USAr114","Illinois",74.90,75.00,75.20,75.30,75.50,75.60,75.80,76.00,76.10,76.40,76.50,76.80,76.90,77.20,77.40,77.70,77.90,78.10,78.30,78.60,78.70,78.90,79.00,79.10,79.20,79.30,79.50,79.60
"United States","USA","Subnat","USAr115","Indiana",75.30,75.30,75.40,75.50,75.60,75.70,75.70,75.90,75.90,76.00,76.00,76.20,76.30,76.40,76.60,76.70,76.90,76.90,77.00,77.20,77.20,77.40,77.50,77.70,77.80,77.90,78.10,78.20
"United States","USA","Subnat","USAr116","Iowa",76.90,77.00,77.20,77.20,77.40,77.60,77.60,77.80,77.80,78.00,78.00,78.20,78.20,78.40,78.50,78.70,78.80,78.80,78.90,79.00,79.00,79.30,79.50,79.70,79.90,80.00,80.20,80.30
