Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"United States","USA","Subnat","USAr101","Alabama",10.27,10.26,10.28,10.29,10.31,10.33,10.36,10.39,10.41,10.44,10.45,10.45,10.47,10.50,10.55,10.58,10.58,10.58,10.57,10.53,10.55,10.56,10.57,10.58,10.57,10.58,10.59,10.61
"United States","USA","Subnat","USAr102","Alaska",10.94,10.93,10.95,10.96,10.99,11.00,11.03,11.06,11.03,11.01,10.99,11.01,11.04,11.03,11.05,11.07,11.11,11.17,11.18,11.24,11.21,11.23,11.27,11.22,11.19,11.19,11.13,11.15
"United States","USA","Subnat","USAr103","Arizona",10.36,10.35,10.37,10.38,10.41,10.42,10.45,10.48,10.53,10.59,10.61,10.61,10.62,10.66,10.67,10.71,10.74,10.74,10.70,10.60,10.60,10.62,10.62,10.62,10.63,10.63,10.63,10.64
"United States","USA","Subnat","USAr104","Arkansas",10.24,10.23,10.25,10.26,10.28,10.30,10.32,10.35,10.36,10.40,10.40,10.40,10.43,10.46,10.50,10.53,10.53,10.52,10.52,10.48,10.51,10.53,10.53,10.55,10.57,10.57,10.57,10.58
"United States","USA","Subnat","USAr105","California",10.54,10.53,10.55,10.56,10.59,10.60,10.63,10.66,10.70,10.76,10.82,10.80,10.81,10.85,10.89,10.93,10.95,10.97,10.96,10.91,10.92,10.92,10.94,10.96,10.99,11.03,11.05,11.06
"United States","USA","Subnat","USAr106","Colorado",10.59,10.58,10.60,10.61,10.64,10.66,10.68,10.71,10.78,10.83,10.88,10.88,10.87,10.87,10.86,10.89,10.89,10.91,10.91,10.87,10.86,10.87,10.88,10.90,10.93,10.94,10.94,10.96
"United States","USA","Subnat","USAr107","Connecticut",10.82,10.81,10.83,10.84,10.87,10.88,10.91,10.94,10.97,11.00,11.06,11.07,11.06,11.07,11.13,11.14,11.16,11.21,11.19,11.14,11.14,11.13,11.12,11.11,11.11,11.13,11.14,11.16
"United States","USA","Subnat","USAr108","Delaware",10.87,10.85,10.87,10.89,10.91,10.93,10.96,10.99,11.06,11.14,11.18,11.21,11.16,11.17,11.19,11.17,11.17,11.15,11.10,11.12,11.11,11.13,11.10,11.08,11.12,11.14,11.13,11.15
"United States","USA","Subnat","USAr109","District of Columbia",11.69,11.67,11.69,11.71,11.74,11.75,11.78,11.82,11.84,11.87,11.87,11.92,11.95,11.98,12.03,12.05,12.05,12.08,12.10,12.08,12.09,12.09,12.07,12.05,12.05,12.05,12.06,12.07
"United States","USA","Subnat","USAr110","Florida",10.39,10.37,10.39,10.41,10.43,10.45,10.47,10.50,10.54,10.58,10.60,10.62,10.64,10.66,10.68,10.72,10.73,10.73,10.68,10.62,10.62,10.61,10.60,10.61,10.62,10.64,10.65,10.67
"United States","USA","Subnat","USAr111","Georgia",10.53,10.52,10.54,10.55,10.58,10.59,10.62,10.65,10.69,10.74,10.76,10.75,10.75,10.76,10.79,10.82,10.80,10.79,10.75,10.70,10.71,10.71,10.71,10.72,10.75,10.76,10.78,10.79
"United States","USA","Subnat","USAr112","Hawaii",10.60,10.59,10.61,10.62,10.65,10.66,10.69,10.72,10.69,10.71,10.73,10.72,10.74,10.79,10.83,10.87,10.87,10.89,10.89,10.84,10.87,10.87,10.88,10.88,10.88,10.90,10.91,10.93
"United States","USA","Subnat","USAr113","Idaho",10.18,10.17,10.19,10.20,10.23,10.24,10.27,10.30,10.33,10.40,10.49,10.45,10.46,10.47,10.50,10.53,10.56,10.57,10.56,10.51,10.51,10.51,10.50,10.52,10.53,10.55,10.54,10.56
"United States","USA","Subnat","USAr114","Illinois",10.64,10.62,10.64,10.66,10.68,10.70,10.72,10.75,10.77,10.80,10.84,10.83,10.83,10.85,10.87,10.89,10.91,10.92,10.90,10.87,10.89,10.91,10.93,10.93,10.94,10.96,10.97,10.98
"United States","USA","Subnat","USAr115","Indiana",10.44,10.43,10.45,10.46,10.49,10.50,10.53,10.56,10.61,10.63,10.66,10.64,10.66,10.69,10.72,10.71,10.72,10.74,10.74,10.66,10.73,10.73,10.74,10.76,10.77,10.78,10.79,10.80
"United States","USA","Subnat","USAr116","Iowa",10.44,10.43,10.45,10.46,10.49,10.50,10.53,10.56,10.56,10.58,10.62,10.61,10.63,10.68,10.75,10.77,10.78,10.82,10.80,10.77,10.79,10.81,10.84,10.85,10.87,10.89,10.89,10.91
"United States","USA","Subnat","USAr117","Kansas",10.45,10.43,10.45,10.47,10.49,10.51,10.53,10.56,10.59,10.61,10.63,10.63,10.64,10.66,10.66,10.68,10.73,10.77,10.79,10.74,10.76,10.79,10.79,10.79,10.81,10.83,10.83,10.84
"United States","USA","Subnat","USAr118","Kentucky",10.39,10.37,10.39,10.40,10.43,10.45,10.47,10.50,10.52,10.55,10.51,10.51,10.53,10.55,10.57,10.60,10.61,10.60,10.60,10.55,10.59,10.61,10.61,10.62,10.62,10.63,10.64,10.65
"United States","USA","Subnat","USAr119","Louisiana",10.53,10.51,10.53,10.55,10.57,10.59,10.61,10.65,10.67,10.68,10.65,10.66,10.68,10.71,10.75,10.80,10.85,10.80,10.80,10.81,10.85,10.79,10.79,10.75,10.77,10.77,10.76,10.77
"United States","USA","Subnat","USAr120","Maine",10.32,10.30,10.32,10.34,10.36,10.38,10.40,10.43,10.46,10.50,10.54,10.55,10.57,10.59,10.62,10.61,10.62,10.62,10.61,10.60,10.61,10.60,10.60,10.60,10.61,10.63,10.64,10.65
"United States","USA","Subnat","USAr121","Maryland",10.56,10.54,10.56,10.58,10.60,10.62,10.64,10.68,10.70,10.74,10.76,10.79,10.81,10.83,10.87,10.90,10.91,10.92,10.93,10.92,10.95,10.96,10.96,10.96,10.97,10.98,10.99,11.01
"United States","USA","Subnat","USAr122","Massachusetts",10.67,10.66,10.68,10.69,10.72,10.74,10.76,10.79,10.83,10.87,10.95,10.95,10.96,10.98,11.01,11.03,11.04,11.07,11.07,11.04,11.08,11.10,11.11,11.10,11.11,11.14,11.16,11.17
"United States","USA","Subnat","USAr123","Michigan",10.50,10.48,10.50,10.51,10.54,10.56,10.58,10.61,10.62,10.67,10.69,10.65,10.68,10.70,10.70,10.71,10.69,10.69,10.65,10.56,10.62,10.65,10.67,10.69,10.70,10.73,10.75,10.76
"United States","USA","Subnat","USAr124","Minnesota",10.57,10.56,10.58,10.59,10.62,10.63,10.66,10.69,10.73,10.75,10.80,10.80,10.81,10.85,10.89,10.91,10.89,10.90,10.90,10.85,10.88,10.90,10.91,10.93,10.95,10.95,10.96,10.97
"United States","USA","Subnat","USAr125","Mississippi",10.17,10.15,10.17,10.19,10.21,10.23,10.25,10.28,10.30,10.32,10.32,10.31,10.31,10.35,10.37,10.38,10.40,10.42,10.46,10.42,10.42,10.41,10.43,10.44,10.43,10.43,10.44,10.45
"United States","USA","Subnat","USAr126","Missouri",10.50,10.49,10.51,10.52,10.55,10.56,10.59,10.62,10.64,10.65,10.68,10.67,10.67,10.69,10.70,10.71,10.71,10.71,10.73,10.70,10.71,10.70,10.71,10.72,10.72,10.74,10.74,10.76
"United States","USA","Subnat","USAr127","Montana",10.22,10.21,10.23,10.24,10.27,10.28,10.31,10.34,10.38,10.39,10.40,10.42,10.44,10.47,10.50,10.54,10.55,10.60,10.59,10.56,10.60,10.62,10.62,10.62,10.65,10.66,10.65,10.66
"United States","USA","Subnat","USAr128","Nebraska",10.49,10.48,10.50,10.51,10.54,10.56,10.58,10.61,10.62,10.64,10.67,10.69,10.70,10.75,10.77,10.78,10.80,10.82,10.83,10.83,10.87,10.91,10.90,10.92,10.95,10.95,10.95,10.96
